Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Amplio,https://www.crunchbase.com/organization/ninispeech,"EdTech, mHealth, Speech Recognition","Rockville, Maryland, United States","Amplio provides a digital platform that connects students, educators, and administrators.","13,175",8,27000000,USD,27000000,36859220,USD,36859220
Talkspace,https://www.crunchbase.com/organization/talkspace,"Consulting, Health Care, mHealth, Therapeutics","New York, New York, United States",Talkspace is an online therapy startup that offers confidential therapy with a network of licensed therapists.,"13,234",13,300000000,USD,300000000,413700000,USD,413700000
Figure 1,https://www.crunchbase.com/organization/figure,"Health Care, Medical, mHealth","Toronto, Ontario, Canada","Figure 1 connects healthcare professionals around the world to view, discuss, and share medical cases.","13,394",6,10000000,USD,10000000,23500006,USD,23500006
Behavidence,https://www.crunchbase.com/organization/behavidence,"Health Care, mHealth, Mobile Apps","New York, New York, United States",Digital phenotyping for mental health,"13,484",3,4300000,USD,4300000,5625000,USD,5625000
Harmonize,https://www.crunchbase.com/organization/harmonize,"Elder Care, Health Care, Medical, mHealth","San Mateo, California, United States",Harmonize offers a remote care platform that simplifies technology implementation and clinical triage.,"14,154",3,10000000,USD,10000000,13750000,USD,13750000
AristaMD,https://www.crunchbase.com/organization/aristamd,"Health Care, Hospital, mHealth, Software","San Diego, California, United States",AristaMD is a healthcare company that features a software platform that helps hospitals and practitioners on improving patient outcomes.,"14,403",5,6000000,USD,6000000,36875000,USD,36875000
Grayce,https://www.crunchbase.com/organization/grayce-7e7a,"Elder Care, Employee Benefits, Health Care, mHealth, Wellness","San Francisco, California, United States","Grayce is a navigation platform for families with aging, ill, and vulnerable loved ones.","14,468",1,3400000,USD,3400000,3400000,USD,3400000
Pharmacy2U,https://www.crunchbase.com/organization/pharmacy2u,"Health Care, mHealth, Pharmaceutical, Service Industry","Leeds, Leeds, United Kingdom",Pharmacy2U are the UK’s leading NHS approved online pharmacy and also provide a confidential private online doctor service.,"14,602",3,40000000,GBP,56589572,57000000,GBP,78959683
Push Doctor,https://www.crunchbase.com/organization/push-doctor,"Health Care, Health Diagnostics, mHealth","Manchester, Manchester, United Kingdom",Push Doctor is creating the future of healthcare.,"14,955",5,,,,55330416,USD,55330416
Mindoula Health,https://www.crunchbase.com/organization/mindoula-health,"Health Care, Medical, mHealth, Wellness","Silver Spring, Maryland, United States",Mindoula is a next generation population health management company that scales the human connection through technology.,"15,003",5,27250000,USD,27250000,42000000,USD,42000000
Zava,https://www.crunchbase.com/organization/dred-online-doctor,"Fitness, Health Care, Health Diagnostics, mHealth, Wellness","London, England, United Kingdom","Zava is an online medical service provider and offers consultations, diagnostics and medication without the need for a face-to-face visit.","15,067",3,32000000,USD,32000000,33701514,USD,33701514
Nest Collaborative,https://www.crunchbase.com/organization/nest-collaborative,"Consulting, Health Care, Health Insurance, Home Health Care, Internet, Medical, mHealth, Personal Health","Farmington, Connecticut, United States",Payer-reimbursed lactation telehealth,"15,108",2,4263376,USD,4263376,4273376,USD,4273376
Bloomlife,https://www.crunchbase.com/organization/bloom-technologies,"Artificial Intelligence, Fitness, Health Care, mHealth, Wearables, Wellness","San Francisco, California, United States",Women's health company combining clinically validated wearables with data analytics to improve birth outcomes.,"15,130",8,,,,14638925,USD,14638925
Preventice Solutions,https://www.crunchbase.com/organization/preventice-solutions,"Health Care, Medical, Medical Device, mHealth","Houston, Texas, United States",Preventice Solutions is a privately-held company that offers a portfolio of mobile cardiac health solutions and services.,"15,261",2,137000000,USD,137000000,137000000,USD,137000000
Skin Analytics,https://www.crunchbase.com/organization/skin-analytics,"Artificial Intelligence, Health Care, Medical, mHealth","London, England, United Kingdom",Skin Analytics uses artificial intelligence to screen for melanoma skin cancer.,"15,414",15,4000000,GBP,5186143,9011292,USD,9011292
UCM Digital Health,https://www.crunchbase.com/organization/united-concierge-medicine-virtual-er,"Emergency Medicine, Health Care, mHealth, Software","Troy, New York, United States","UCM Digital Health is a provider of virtual care and emergency telemedicine tools for insurers, employers, patients, and providers.","15,435",1,5500000,USD,5500000,5500000,USD,5500000
Digital Pharmacist,https://www.crunchbase.com/organization/rxwiki,"Health Care, mHealth, Pharmaceutical, Service Industry","Austin, Texas, United States","HIPAA-compliant, cloud-based solutions to help your pharmacy attract new customers, increase efficiencies, and grow your business.","15,686",3,,,,12245869,USD,12245869
Sharecare,https://www.crunchbase.com/organization/sharecare,"Consumer, Health Care, Information Technology, mHealth","Atlanta, Georgia, United States","Sharecare is a health and wellness engagement platform providing consumers with information, programs and resources to improve their health.","16,106",14,425000000,USD,425000000,850000000,USD,850000000
InsightRX,https://www.crunchbase.com/organization/insightrx,"Analytics, Health Care, Machine Learning, mHealth, Predictive Analytics","San Francisco, California, United States",An analytics platform for precision medicine,"16,235",3,10000000,USD,10000000,12825000,USD,12825000
Meditopia,https://www.crunchbase.com/organization/meditopia,"Apps, Fitness, Health Care, mHealth, Personal Health, Wellness","Berlin, Berlin, Germany",Meditopia is one of the world’s leading mental health platforms. We help our +30M members across the world to reduce stress and sleep better,"16,426",5,15000000,USD,15000000,18260000,USD,18260000
Spry Health,https://www.crunchbase.com/organization/spry-health,"Consumer Electronics, Fitness, Health Care, Medical Device, mHealth","Palo Alto, California, United States",Spry Health provides health care payers with real-time analytics to manage chronically ill patients.,"16,948",4,5500000,USD,5500000,8500000,USD,8500000
Airstrip Technologies,https://www.crunchbase.com/organization/airstrip-technologies,"Health Care, Hospital, Medical, mHealth","San Antonio, Texas, United States","AirStrip Technologies provides a platform that delivers critical patient information directly to a doctor's smartphone, laptop or desktop.","17,136",5,21461412,USD,21461412,86461412,USD,86461412
Voiceitt,https://www.crunchbase.com/organization/voiceitt,"Artificial Intelligence, Assistive Technology, mHealth, Software","Tel Aviv, Tel Aviv, Israel",Voiceitt is an automatic speech recognition technology platform.,"17,249",7,10000000,USD,10000000,10500000,USD,10500000
HealthifyMe,https://www.crunchbase.com/organization/healthifyme,"Apps, Fitness, Health Care, mHealth","Bangalore, Karnataka, India",HealthifyMe is a health and fitness application that allows its users to track food and workouts.,"17,332",8,5600000000,INR,75140312,100140312,USD,100140312
DOC+,https://www.crunchbase.com/organization/doc,"Health Care, Medical, mHealth","Moscow, Moscow City, Russian Federation","DOC+ is a digital health company specializing in on-demand medical services (house calls and telemedicine), EHR and medical data management.","17,348",4,9000000,USD,9000000,20500000,USD,20500000
Xandar Kardian,https://www.crunchbase.com/organization/xandarkardian,"Health Care, Home Health Care, Information and Communications Technology (ICT), Information Services, Information Technology, mHealth, Smart Building","Toronto, Ontario, Canada",Xandar Kardian is a global leader and pioneer in radar signal processing solutions for smart building and remote healthcare applications.,"17,589",3,10000000,USD,10000000,13650000,USD,13650000
Blueheart,https://www.crunchbase.com/organization/blueheart,"Health Care, mHealth, Therapeutics, Wellness","London, England, United Kingdom",Blueheart is the emerging category leader for digital therapeutics (DTx) for relationship strength.,"17,975",3,1000000,GBP,1323250,2120000,GBP,2758631
MyDoc,https://www.crunchbase.com/organization/mydoc,"Health Care, mHealth, Outpatient Care","Singapore, Central Region, Singapore",MyDoc is a patient-centric digital healthcare platform that is simplifying the business of getting well and staying well.,"18,099",2,5200000,USD,5200000,6801779,USD,6801779
Miaoshou Doctor,https://www.crunchbase.com/organization/miaoshou-doctor,"Health Care, Medical, mHealth","Beijing, Beijing, China",Miaoshou Doctor is a health care platform that provides communication services between doctors and patients.,"18,224",7,1500000000,CNY,231971915,946669842,USD,946669842
Somatix,https://www.crunchbase.com/organization/somatix,"Analytics, Fitness, Health Care, mHealth, Software, Wearables, Wellness","New York, New York, United States",Somatix is a wearable-enabled Remote Patient Monitoring software platform for healthcare.,"18,343",3,5500000,USD,5500000,7000000,USD,7000000
Dawn Health,https://www.crunchbase.com/organization/dawn-health,"Consulting, Health Care, Health Diagnostics, Medical Device, mHealth, Product Design, Therapeutics","Copenhagen, Hovedstaden, Denmark",Dawn Health is a digital health company offering life-changing digital health therapies driving improved patient outcomes beyond the pill.,"18,379",1,25000000,USD,25000000,25000000,USD,25000000
SeamlessMD,https://www.crunchbase.com/organization/seamlessmd,"Health Care, Hospital, mHealth","Toronto, Ontario, Canada","SeamlessMD provides a cloud-based platform for hospitals to educate, engage and monitor patients through surgery","18,434",3,4000000,CAD,3043780,4143781,USD,4143781
SkinVision,https://www.crunchbase.com/organization/skinvision,"Health Care, Information Technology, Medical Device, mHealth","Amsterdam, Noord-Holland, The Netherlands",SkinVision is a mobile app that allows you to understand your risk factors for skin cancer and keep track of your moles.,"18,468",7,4000000,EUR,4364077,16544305,USD,16544305
ViBe Saúde,https://www.crunchbase.com/organization/vivabem,"Big Data, Business Intelligence, Electronic Health Record (EHR), Health Care, mHealth, Personal Health, Therapeutics, Wellness","São Paulo, Sao Paulo, Brazil",Leading Brazilian Digital Health Platform: Telemedicine + Digital Therapeutics,"18,522",2,10000000,USD,10000000,12500000,USD,12500000
doctorly,https://www.crunchbase.com/organization/doctorly,"B2B, B2C, Health Care, Medical, mHealth, Personal Health, SaaS, Software","Berlin, Berlin, Germany","A cloud powered, practice management platform for doctors, health app for patients, & an integration platform for the wider health industry.","18,542",3,5600000,USD,5600000,5600000,USD,5600000
Kaiku Health,https://www.crunchbase.com/organization/netmedi,"Health Care, Health Diagnostics, Medical, mHealth, Personal Health","Helsinki, Southern Finland, Finland",Kaiku Health is a digital health company with a mission to improve quality of life through health data science.,"18,612",4,4400000,EUR,5389468,6567249,USD,6567249
Youper,https://www.crunchbase.com/organization/youper,"Artificial Intelligence, Consumer, Health Care, mHealth, Women's","San Francisco, California, United States",Youper combines telehealth and artificial intelligence to make mental health care accessible for everyone.,"18,671",3,3000000,USD,3000000,3530000,USD,3530000
Elephant Healthcare,https://www.crunchbase.com/organization/elephant-healthcare,"Health Care, Medical, mHealth","London, England, United Kingdom","Elephant is creating the global digital health network, connecting every part of the healthcare ecosystem.","19,106",3,10000000,GBP,13584040,13977790,USD,13977790
Liva Healthcare,https://www.crunchbase.com/organization/liva-healthcare,"Apps, Fitness, Health Care, mHealth, Wellness","Copenhagen, Hovedstaden, Denmark","Liva’s digital coaching platform provides scalable lifestyle change, disease management & patient engagement for NHS England, AXA PPP & more","19,177",5,24500000,EUR,30229186,43483732,USD,43483732
Epitel,https://www.crunchbase.com/organization/epitel,"Emergency Medicine, Health Care, Health Diagnostics, Home Health Care, Hospital, Medical, Medical Device, mHealth, Neuroscience","Salt Lake City, Utah, United States","Epitel is empowering clinicians, patients, and caregivers who live with or care for neurological disorders with wearables and powerful AI.","19,232",4,12500000,USD,12500000,20400000,USD,20400000
Zipnosis,https://www.crunchbase.com/organization/zipnosis,"Health Care, Information Technology, Medical, mHealth","Minneapolis, Minnesota, United States","Zipnosis is a hospital and healthcare company that specializes in online diagnosis and triage, telehealth, and virtual care.","19,265",5,3050009,USD,3050009,24750009,USD,24750009
EyeQue,https://www.crunchbase.com/organization/eyeque-corp,"Consumer Electronics, Health Care, mHealth, Wellness","Newark, California, United States","Dedicated to inspiring people to learn about & care for their eyes by putting affordable, accurate vision tests directly into their hands.","19,266",3,40800000,USD,40800000,57000000,USD,57000000
Cura,https://www.crunchbase.com/organization/cura,"Employee Benefits, Health Care, Health Diagnostics, Home Health Care, Medical, mHealth, Outpatient Care, Personal Health, Wellness","Riyadh, Ar Riyad, Saudi Arabia","Saudi leading telehealth platform, providing consultations, diagnosis and well-being sessions through instant messaging and live video calls","19,455",3,15000000,SAR,3998933,5052268,USD,5052268
Zillion Group,https://www.crunchbase.com/organization/zillion-group,"Health Care, Information Technology, mHealth, Online Portals","Norwalk, Connecticut, United States","Zillion Group, a Norwalk, Connecticut-based technology solution for digital engagement","19,662",4,28000000,USD,28000000,32854446,USD,32854446
mySugr,https://www.crunchbase.com/organization/mysugr,"Diabetes, Fitness, Health Care, mHealth, Wellness","Vienna, Wien, Austria",mySugr is a digital health company that strives to “make diabetes suck less”,"19,776",3,4800000,USD,4800000,6627695,USD,6627695
Tripment Health,https://www.crunchbase.com/organization/tripment,"Health Care, Marketplace, Medical, mHealth","New York, New York, United States",Tripment Health is a nationwide digital healthcare marketplace for uninsured and underinsured patients to access care at transparent prices.,"20,333",1,2500000,USD,2500000,2500000,USD,2500000
Avizia,https://www.crunchbase.com/organization/avizia,"Health Care, Health Diagnostics, Information Technology, mHealth","Reston, Virginia, United States",Avizia is a provider of telehealth and remote conferencing platform to deploy and power system-wide telehealth programs.,"20,736",8,,,,33744992,USD,33744992
Biovotion,https://www.crunchbase.com/organization/biovotion,"Cloud Computing, Diabetes, Fitness, Health Care, mHealth, Wearables","Zürich, Zurich, Switzerland","Biovotion AG is a digital health company in the field of sophisticated, medical-grade, wearable health monitoring solutions.","20,820",1,13000000,CHF,13495907,13000000,CHF,13495907
Zesty,https://www.crunchbase.com/organization/zesty,"Electronic Health Record (EHR), Health Care, mHealth, Mobile Apps, Personal Health, SaaS","London, England, United Kingdom",Zesty  is a multi-award winning European digital health company.,"20,955",5,,,,10200000,USD,10200000
DrDoctor,https://www.crunchbase.com/organization/icnh,"Assistive Technology, Health Care, Information Technology, mHealth, Software","London, England, United Kingdom",DrDoctor helps hospitals to deliver patient facing digital solutions.,"20,967",4,3000000,GBP,3875308,3898785,USD,3898785
Wellnecity,https://www.crunchbase.com/organization/wellnecity,"Employee Benefits, Health Care, mHealth","Winston Salem, North Carolina, United States",Wellnecity is a healthcare technology solutions innovator that’s reinventing the way employers and employees interact with healthcare.,"21,052",4,3156900,USD,3156900,6333738,USD,6333738
Pear Therapeutics,https://www.crunchbase.com/organization/pear-therapeutics,"Biotechnology, mHealth, Pharmaceutical, Software, Therapeutics","Boston, Massachusetts, United States",Pear Therapeutics is a software-based digital therapeutics platform designed to treat disease and enhance the efficacy of pharmaceuticals.,"21,299",8,125000000,USD,125000000,409000000,USD,409000000
MediQuo,https://www.crunchbase.com/organization/mediquo,"Apps, Health Care, Health Diagnostics, Hospital, Medical, mHealth, Software","Barcelona, Catalonia, Spain","Spain’s 24-hour, 7-day-a-week medical chat application.","21,383",4,2300000,EUR,2730618,6300000,EUR,7276567
Amwell,https://www.crunchbase.com/organization/american-well,"Health Care, Information Technology, mHealth","Boston, Massachusetts, United States","Amwell is a telehealth platform that provides its patients with more affordable, higher quality health care.","21,536",10,54999501,USD,54999501,865954111,USD,865954111
mClinica,https://www.crunchbase.com/organization/mclinica,"Big Data, Health Care, mHealth, Pharmaceutical","Singapore, Central Region, Singapore",mClinica is a tech startup dedicated to revolutionizing the pharmacy in emerging markets.,"21,582",2,6300000,USD,6300000,6300000,USD,6300000
Vivify Health,https://www.crunchbase.com/organization/vivify-health,"Health Care, mHealth, Mobile Apps, Software, Wearables","Plano, Texas, United States","Vivify Health delivers a cloud-based, device-agnostic, and ecosystem-connected remote care management platform.","21,685",5,2000000,USD,2000000,23380732,USD,23380732
RapidSOS,https://www.crunchbase.com/organization/rapidsos,"Health Care, mHealth, Mobile Apps, Public Safety","New York, New York, United States",RapidSOS is a creator of an emergency response data platform that securely links life-saving data to 911 and first responders.,"21,782",14,,,,205730006,USD,205730006
Seniorlink,https://www.crunchbase.com/organization/seniorlink,"Elder Care, Health Care, Home Health Care, Information Technology, mHealth","Boston, Massachusetts, United States",Seniorlink is a tech-enabled health services company transforming care management in the home. ,"21,989",4,,,,32500006,USD,32500006
CardiacSense,https://www.crunchbase.com/organization/sportracker,"Biotechnology, Health Care, Health Diagnostics, Medical Device, mHealth, Wearables","Caesarea, Hefa, Israel",CardiacSense is a developer of a wearable technology for continuous cardiac arrhythmia detection and non-inflating blood pressure monitoring,"22,233",10,1500000,USD,1500000,17700967,USD,17700967
Topology Eyewear,https://www.crunchbase.com/organization/topology-eyewear,"Apps, E-Commerce, Eyewear, Fashion, mHealth, SaaS","San Francisco, California, United States",Topology Eyewear is a SaaS platform enabling eyewear retailers and e-tailers to provide delightful omni-channel experiences.,"22,350",4,14000000,USD,14000000,14000000,USD,14000000
MD Revolution,https://www.crunchbase.com/organization/md-revolution,"Health Care, Information Technology, mHealth, Mobile","Solana Beach, California, United States","MD Revolution uniquely combines technology, services, and analytics to produce scalable, high touch care models.","22,382",6,12254013,USD,12254013,54679799,USD,54679799
DispatchHealth,https://www.crunchbase.com/organization/dispatchhealth,"Health Care, Home Health Care, Medical, mHealth","Denver, Colorado, United States",DispatchHealth is a provider of mobile and virtual healthcare for people of all ages in the comfort of their own homes.,"22,602",5,200000000,USD,200000000,403200000,USD,403200000
MedStack,https://www.crunchbase.com/organization/medstack-inc,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Developer Platform, Developer Tools, Health Care, mHealth, Network Security, Security","Toronto, Ontario, Canada","Built-in, guaranteed, provable data privacy and security compliance for digital health companies","22,698",3,3060000,USD,3060000,5560000,USD,5560000
Alena,https://www.crunchbase.com/organization/alena,"Health Care, mHealth, Mobile, Software, Wellness","London, England, United Kingdom",Alena uses computational neuroscience to deliver tailored mental health solutions.,"23,152",3,2700000,USD,2700000,3620000,USD,3620000
ChartSpan Medical Technologies,https://www.crunchbase.com/organization/chartspan-medical-technologies,"Health Care, Medical, mHealth, Software","Greenville, South Carolina, United States","ChartSpan provides turn-key, managed care coordination, and compliance programs for doctors, clinics, and health systems.","23,371",8,,,,37150000,USD,37150000
Modern Health,https://www.crunchbase.com/organization/modern-health,"Health Care, mHealth, Therapeutics, Wellness","San Francisco, California, United States","Modern Health is a mental well-being platform for innovative companies offering therapy, coaching, and self-guided courses all in one app.","23,989",6,74000000,USD,74000000,167400000,USD,167400000
Huma,https://www.crunchbase.com/organization/medopad,"Health Care, Information Technology, mHealth","London, England, United Kingdom",Huma provides a digital health platform used for predictive care and research.,"24,009",7,25000000,GBP,33012801,217012801,USD,217012801
Vocera Communications,https://www.crunchbase.com/organization/vocera-communications,"Health Care, Information Technology, mHealth, Telecommunications","San Jose, California, United States",Vocera Communications is a medtech company that offers communication systems and solutions for healthcare professionals and patients.,"24,066",8,1100000,USD,1100000,26729000,USD,26729000
ExSeed Health,https://www.crunchbase.com/organization/exseed-health,"Fertility, Health Care, Information Technology, Medical Device, mHealth, Software","London, England, United Kingdom",MedTech / Software company in the reproductive health space,"24,326",8,2500000,GBP,3385157,6407039,USD,6407039
Rosy Wellness,https://www.crunchbase.com/organization/rosy,"Health Care, mHealth, Mobile Apps, Personal Health, Sex Tech, Wellness, Women's","Dallas, Texas, United States",Rosy creates solutions to empower women on their journey toward sexual wellness.,"24,380",5,2000000,USD,2000000,4015000,USD,4015000
Coala Life,https://www.crunchbase.com/organization/coala-life,"Health Care, Medical, mHealth, Wireless","Stockholm, Stockholms Lan, Sweden",Developed a digital service where a small wireless heart monitor reading of the heart's ECG and heart sounds,"24,681",5,10000000,USD,10000000,20016078,USD,20016078
Peerwell,https://www.crunchbase.com/organization/peerwell,"Health Care, Medical, mHealth, Personal Health","San Francisco, California, United States",PeerWell covers the full continuum of musculoskeletal care — from pain & prevention through to complex surgery & recovery.,"25,087",3,6500000,USD,6500000,9130000,USD,9130000
Kokoon Technology,https://www.crunchbase.com/organization/kokoon-technology,"Consumer Electronics, Health Care, Home Health Care, mHealth, Personal Health, Wellness","London, England, United Kingdom",Kokoon Technology is a digital health platform applying data to provide a personalized path to better sleep and mental health,"25,464",5,3000000,GBP,3846449,8316216,USD,8316216
Pear Sports,https://www.crunchbase.com/organization/pear-sports,"Fitness, Health Care, mHealth, Personal Health, Real Time, Software, Sports, Training, Wellness","Irvine, California, United States",Pear Sports is a health and fitness software platform that delivers digital coaching solutions.,"25,480",3,821095,USD,821095,9265095,USD,9265095
HealthCrowd,https://www.crunchbase.com/organization/healthcrowd,"Big Data, Enterprise Software, Health Care, mHealth, Productivity Tools, SaaS","San Mateo, California, United States",HealthCrowd is an end-to-end communications platform for healthcare.,"25,544",4,7200000,USD,7200000,9828000,USD,9828000
Nutrino,https://www.crunchbase.com/organization/nutrino,"Developer APIs, Diabetes, Health Care, Internet, mHealth, Nutrition, Software, Wellness","Tel Aviv, Tel Aviv, Israel","Nutrino is a big data, personalized nutrition platform that offers  nutritional values and data through wearables and other technologies.","26,154",3,8000000,USD,8000000,11500000,USD,11500000
Top Doctors,https://www.crunchbase.com/organization/top-doctors,"Health Care, Internet, mHealth","Barcelona, Catalonia, Spain","Top Doctors is an online platform for identifying, interacting and booking e-consultations with medical specialists in private healthcare.","26,450",4,11200000,EUR,12981247,15800000,EUR,18152100
Jana Care,https://www.crunchbase.com/organization/jana-care,"Health Care, mHealth, Personal Health","Boston, Massachusetts, United States","Jana Care develops and manufactures Aina Blood Monitoring Device, a novel connected blood diagnostic device.","26,673",2,12731736,USD,12731736,12731736,USD,12731736
Orchid,https://www.crunchbase.com/organization/orchid-3d77,"Biotechnology, Health Care, Medical, mHealth","San Francisco, California, United States",Orchid is a reproductive technology startup that is capable of detecting rare genetic disorders.,"26,778",1,4500000,USD,4500000,4500000,USD,4500000
CareSync,https://www.crunchbase.com/organization/caresync,"Health Care, Information Technology, mHealth, Software","Tampa, Florida, United States",CareSync is the leading provider of software and services for chronic disease management.,"27,013",4,26500000,USD,26500000,49039000,USD,49039000
Titan Health & Security Technologies,https://www.crunchbase.com/organization/titan-health-security-technologies,"Enterprise Software, Information Technology, Law Enforcement, Messaging, mHealth, Mobile, Public Safety, SaaS","Newport Beach, California, United States","Titan HST offers a comprehensive emergency communications network and mass notification system serving businesses, schools, and governments.","27,198",3,2565836,USD,2565836,6331836,USD,6331836
HealthSnap,https://www.crunchbase.com/organization/healthsnap,"Health Care, Home Health Care, Information Technology, mHealth, Software","Miami, Florida, United States",HealthSnap is a remote patient monitoring platform for virtual chronic disease management.,"27,224",4,5000000,USD,5000000,12600000,USD,12600000
MyndYou,https://www.crunchbase.com/organization/myndyou,"Artificial Intelligence, Elder Care, Health Care, Home Health Care, mHealth, Neuroscience","Herzliya, Tel Aviv, Israel",MyndYou is an  AI-based platform that empowers practitioners to deliver personalized and data-driven cognitive care to seniors.,"27,635",4,4000000,USD,4000000,4000000,USD,4000000
Sonavi Labs,https://www.crunchbase.com/organization/sonavi-labs,"Artificial Intelligence, Health Care, Health Diagnostics, Home Health Care, Information Technology, Machine Learning, Medical, Medical Device, mHealth, Software","Baltimore, Maryland, United States",Sonavi Labs focuses on developing modern medical products that analyze body sounds for the diagnosis of diseases.,"27,646",4,3500000,USD,3500000,4500000,USD,4500000
Cohero Health,https://www.crunchbase.com/organization/cohero-health,"Health Care, Medical, Medical Device, mHealth, Personal Health","New York, New York, United States",Cohero Health offers a proprietary connected health platform for those with respiratory illness.,"27,817",6,1500000,USD,1500000,16800000,USD,16800000
ZappRx,https://www.crunchbase.com/organization/zapprx,"Health Care, Information Technology, mHealth","Boston, Massachusetts, United States",ZappRx is a digital health company that is modernizing and simplifying the way specialty drugs are ordered,"27,933",4,25000000,USD,25000000,41000000,USD,41000000
Eko,https://www.crunchbase.com/organization/eko-health,"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical Device, mHealth, Software","Oakland, California, United States",Eko develops AI-powered digital tools to detect and monitor heart and lung disease,"28,287",10,30000000,USD,30000000,125500000,USD,125500000
Beddr Sleep,https://www.crunchbase.com/organization/beddr-sleep,"Health Care, Health Diagnostics, Information Technology, mHealth, Personal Health","Mountain View, California, United States",Beddr is making it easy for people to understand and solve their sleep problems.,"28,632",1,5600000,USD,5600000,5600000,USD,5600000
Courier Health,https://www.crunchbase.com/organization/courier-health,"Health Care, Medical, mHealth","New York, New York, United States",Courier Health develops a patient engagement platform designed to deliver personalized experiences from end to end.,"29,399",1,3950002,USD,3950002,3950002,USD,3950002
PatientSafe Solutions,https://www.crunchbase.com/organization/patientsafe-solutions,"Biotechnology, Health Care, Hospital, Medical, mHealth, Software","San Diego, California, United States",PatientSafe Solutions offers mobile point-of-care solutions and technologies for accountable care.,"29,938",13,25000000,USD,25000000,145757804,USD,145757804
JOGO Health,https://www.crunchbase.com/organization/jogo-health,"Biotechnology, Fitness, Health Care, Medical Device, mHealth, Pharmaceutical, Rehabilitation, Therapeutics, Wearables","Bridgewater, New Jersey, United States",JOGO Health is a biotech company focused on digital therepeutics for neuromuscular conditions.,"30,112",2,4430000,USD,4430000,6930000,USD,6930000
Anima,https://www.crunchbase.com/organization/anima-a04f,"Health Care, Medical, mHealth, Mobile Apps","London, England, United Kingdom",Anima is a tech-enabled provider of healthcare triage.,"30,117",2,2500000,USD,2500000,2625000,USD,2625000
BrainWaveBank,https://www.crunchbase.com/organization/brainwavebank,"Clinical Trials, Health Care, Health Diagnostics, Medical Device, mHealth, Neuroscience, Pharmaceutical","Belfast, Belfast, United Kingdom","BrainWaveBank makes it possible to measure and track brain activity and cognitive performance for anyone, anytime, anywhere.","30,179",9,6000000,GBP,8018999,12584707,GBP,16416304
WOOM,https://www.crunchbase.com/organization/woom-fertility,"Apps, Artificial Intelligence, Health Care, Lifestyle, mHealth, Wellness","Madrid, Madrid, Spain",WOOM is Data science for Women's and Reproductive Health,"30,830",10,13706,GBP,17940,4400703,USD,4400703
TytoCare,https://www.crunchbase.com/organization/tyto,"Artificial Intelligence, Health Care, Machine Learning, Medical Device, mHealth, Software","New York, New York, United States",TytoCare is a telehealth platform for AI-powered and on-demand remote medical examinations.,"31,145",7,50000000,USD,50000000,156700000,USD,156700000
6over6,https://www.crunchbase.com/organization/6over6,"Eyewear, Health Care, mHealth, Personal Health, Wellness","Tel Aviv, Tel Aviv, Israel",6over6 offers a digital healthcare platform that enables users to perform their own eye vision test.,"31,216",3,11000000,USD,11000000,15000000,USD,15000000
Hexoskin (Carré Technologies),https://www.crunchbase.com/organization/hexoskin,"Analytics, Health Care, Health Diagnostics, Internet of Things, mHealth, Software, Wearables, Web Development","Montréal, Quebec, Canada","Hexoskin develops smart clothing with the ability to deliver predictive health analytics for health, fitness, and wellness.","31,364",6,960000,USD,960000,4245311,USD,4245311
Grand Rounds Health,https://www.crunchbase.com/organization/grand-rounds,"Enterprise Software, Health Care, Hospital, Medical, mHealth","San Francisco, California, United States",Grand Rounds Health is a tech-driven healthcare company that offers an employer-based technology alternative for healthcare services.,"31,652",7,103000000,USD,103000000,272000000,USD,272000000
Mango Health,https://www.crunchbase.com/organization/mango-health,"Health Care, mHealth, Mobile, Personal Health, Wellness","San Francisco, California, United States",Mobile health company on a mission to inspire and empower patients with chronic conditions to lead healthier lives.,"31,841",4,,,,8300000,USD,8300000
OhMD,https://www.crunchbase.com/organization/ohmd,"Electronic Health Record (EHR), Health Care, Messaging, mHealth","Burlington, Vermont, United States",OhMD is a modern patient experience and HIPAA compliant texting  and telehealth platform that patients love.,"31,883",5,,,,3270000,USD,3270000
Dentulu,https://www.crunchbase.com/organization/dentulu,"Dental, Health Care, mHealth","Los Angeles, California, United States",Dentulu is a provider of teledentistry and mobile dentistry solutions to existing non-profits around the world.,"31,928",16,350000,USD,350000,3252000,USD,3252000
Happify,https://www.crunchbase.com/organization/happify,"Health Care, mHealth, Neuroscience, Wellness","New York, New York, United States",Happify is a software-enabled health care platform designed to improve mental and physical health.,"32,051",9,73000000,USD,73000000,118713427,USD,118713427
TouchCare,https://www.crunchbase.com/organization/touchcare,"Health Care, Health Insurance, Insurance, mHealth, Mobile","New York, New York, United States","TouchCare is the premium health advocacy service, backed by Echo Health Ventures and Fortress Equity Partners (NYC).","32,316",4,1500000,USD,1500000,15400000,USD,15400000
